x,Normal,Fight,Flying,Poison,Ground,Rock,Bug,Ghost,Steel,Fire,Water,Grass,Electr,Psychc,Ice,Dragon,Dark,Fairy,None
Normal,1,1,1,1,1,0.5,1,0,0.5,1,1,1,1,1,1,1,1,1,1
Fight,2,1,0.5,0.5,1,2,0.5,0,2,1,1,1,1,0.5,2,1,2,0.5,1
Flying,1,2,1,1,1,0.5,2,1,0.5,1,1,2,0.5,1,1,1,1,1,1
Poison,1,1,1,0.5,0.5,0.5,1,0.5,0,1,1,2,1,1,1,1,1,2,1
Ground,1,1,0,2,1,2,0.5,1,2,2,1,0.5,2,1,1,1,1,1,1
Rock,1,0.5,2,1,0.5,1,2,1,0.5,2,1,1,1,1,2,1,1,1,1
Bug,1,0.5,0.5,0.5,1,1,1,0.5,0.5,0.5,1,2,1,2,1,1,2,0.5,1
Ghost,0,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,0.5,1,1
Steel,1,1,1,1,1,2,1,1,0.5,0.5,0.5,1,0.5,1,2,1,1,2,1
Fire,1,1,1,1,1,0.5,2,1,2,0.5,0.5,2,1,1,2,0.5,1,1,1
Water,1,1,1,1,2,2,1,1,1,2,0.5,0.5,1,1,1,0.5,1,1,1
Grass,1,1,0.5,0.5,2,2,0.5,1,0.5,0.5,2,0.5,1,1,1,0.5,1,1,1
Electr,1,1,2,1,0,1,1,1,1,1,2,0.5,0.5,1,1,0.5,1,1,1
Psychc,1,2,1,2,1,1,1,1,0.5,1,1,1,1,0.5,1,1,0,1,1
Ice,1,1,2,1,2,1,1,1,0.5,0.5,0.5,2,1,1,0.5,2,1,1,1
Dragon,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,2,1,0,1
Dark,1,0.5,1,1,1,1,1,2,1,1,1,1,1,2,1,1,0.5,0.5,1
Fairy,1,2,1,0.5,1,1,1,1,0.5,0.5,1,1,1,1,1,2,2,1,1
None,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
